,link,type,year
0,http://vote.nyc.ny.us/downloads/pdf/results/2004/general/g2004recaps.pdf,General,2004
1,http://vote.nyc.ny.us/downloads/pdf/results/2004/general/g2004aded.pdf,General,2004
2,http://vote.nyc.ny.us/downloads/pdf/results/2004/primary/p2004newyork.pdf,Primary,2004
3,http://vote.nyc.ny.us/downloads/pdf/results/2004/primary/p2004bronx.pdf,Primary,2004
4,http://vote.nyc.ny.us/downloads/pdf/results/2004/primary/p2004kings.pdf,Primary,2004
5,http://vote.nyc.ny.us/downloads/pdf/results/2004/primary/p2004queens.pdf,Primary,2004
6,http://vote.nyc.ny.us/downloads/pdf/results/2004/primary/p2004richmond.pdf,Primary,2004
7,http://vote.nyc.ny.us/downloads/pdf/results/2004/primary/p2004crossover.pdf,Primary,2004
8,http://vote.nyc.ny.us/downloads/pdf/results/2004/primary/p2004writeins.pdf,Primary,2004
9,http://vote.nyc.ny.us/downloads/pdf/results/2004/presidentialprimary/pp2004.pdf,Primary,2004
10,http://vote.nyc.ny.us/downloads/pdf/results/2003/general/g2003recaps.pdf,General,2003
11,http://vote.nyc.ny.us/downloads/pdf/results/2003/primary/2003primaryrecapsall.pdf,Primary,2003
12,http://vote.nyc.ny.us/downloads/pdf/results/2003/special/s2003resultsbx18council.pdf,Special,2003
13,http://vote.nyc.ny.us/downloads/pdf/results/2003/special/s2003resultsbx79ad.pdf,Special,2003
14,http://vote.nyc.ny.us/downloads/pdf/results/2003/special/s2003resultsbk43council.pdf,Special,2003
15,http://vote.nyc.ny.us/downloads/pdf/results/2003/special/s2003resultsbk55ad.pdf,Special,2003
16,http://vote.nyc.ny.us/downloads/pdf/results/2002/general/g2002generalrecapsall.pdf,General,2002
17,http://vote.nyc.ny.us/downloads/pdf/results/2002/primaryelection/2002primaryrecapsall.pdf,Primary,2002
18,http://vote.nyc.ny.us/downloads/pdf/results/2002/special/queens_assembly_31st_dist.pdf,Special,2002
19,http://vote.nyc.ny.us/downloads/pdf/results/2002/special/s2002results26s.pdf,Special,2002
20,http://vote.nyc.ny.us/downloads/pdf/results/2002/special/s2002results20s.pdf,Special,2002
21,http://vote.nyc.ny.us/downloads/pdf/results/2002/special/s2002results56s.pdf,Special,2002
22,http://vote.nyc.ny.us/downloads/pdf/results/2002/special/s2002results60s.pdf,Special,2002
23,http://vote.nyc.ny.us/downloads/pdf/results/2001/generalelection/general2001.pdf,General,2001
24,http://vote.nyc.ny.us/downloads/pdf/results/2001/primaryelection/2001runoff.pdf,Primary,2001
25,http://vote.nyc.ny.us/downloads/pdf/results/2001/primaryelection/2001p.pdf,Primary,2001
26,http://vote.nyc.ny.us/downloads/pdf/results/2001/special/bxcon15.pdf,Special,2001
27,http://vote.nyc.ny.us/downloads/pdf/results/2000/generalelection/allg2000.pdf,General,2000
28,http://vote.nyc.ny.us/downloads/pdf/results/2000/presprimary/alldempp2000.pdf,Primary,2000
29,http://vote.nyc.ny.us/downloads/pdf/results/2000/presprimary/allreppp2000.pdf,Primary,2000
30,http://vote.nyc.ny.us/downloads/pdf/results/2000/presprimary/allgreenpp2000.pdf,Primary,2000
31,http://vote.nyc.ny.us/downloads/pdf/results/1999/generalelection/1999g_results.pdf,General,1999
32,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/CityWide/CrossoverBalancedFiscalRequirements.pdf,General,2005
33,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/CityWide/CrossoverCityComptrollerCitiwide.pdf,General,2005
34,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/CityWide/CrossoverPublicAdvocateCitiwide.pdf,General,2005
35,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/CityWide/CrossoverEthicsForAdministrativeJudges.pdf,General,2005
36,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/CityWide/CrossoverCityCouncil34.pdf,General,2005
37,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/CityWide/CrossoverCityCouncilDistrict50.pdf,General,2005
38,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/CityWide/CrossoverProposal1.pdf,General,2005
39,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/CityWide/CrossoverProposal2.pdf,General,2005
40,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/CroossoverCityCouncilDistrict8Re-CapNYC.pdf,General,2005
41,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/CroossoverJusticeOfSupremeCourtDistrict2Re-CapNYC.pdf,General,2005
42,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/CroossoverMayorRe-CapNYC.pdf,General,2005
43,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkBoroughPresidentRecap.pdf,General,2005
44,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil1Recap.pdf,General,2005
45,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil2Recap.pdf,General,2005
46,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil3Recap.pdf,General,2005
47,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil4Recap.pdf,General,2005
48,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil5Recap.pdf,General,2005
49,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil6Recap.pdf,General,2005
50,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil7Recap.pdf,General,2005
51,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil8Recap.pdf,General,2005
52,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil9Recap.pdf,General,2005
53,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkCityCouncil10Recap.pdf,General,2005
54,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkComptrollerNYRecap.pdf,General,2005
55,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkDANYRecap.pdf,General,2005
56,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkJudgeoftheCivilCourt5Recap.pdf,General,2005
57,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkJudgeoftheCivilCourtCountyNYRecap.pdf,General,2005
58,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkJusticeoftheSupremeCourt1NYRecap.pdf,General,2005
59,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkMayorNYRecap.pdf,General,2005
60,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkProp1NYRecap.pdf,General,2005
61,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkProp2NYRecap.pdf,General,2005
62,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkPublicAdvocateNYRecap.pdf,General,2005
